exon_id,n_exp,slope_exp,pearson_exp,spearman_exp,n_mean,slope_mean,pearson_mean,spearman_mean,n_prod,slope_prod,pearson_prod,spearman_prod
ERICH2_e2,81,0.5496490136614011,0.6644564851559541,0.7785682023486901,81,0.6208800845358641,0.7781341195785078,0.842258594517684,81,0.9567259702257622,0.7543169020435385,0.8420779250242896
ESR2_e6,398,0.07719925268226432,0.3196398248742982,0.3716918417933544,398,0.005167333033748034,0.09013080893309565,0.09297053967086108,398,0.00777743009132746,0.09536459405144418,0.09364835091728167
EXD2_e2,240,1.1478692749309525,0.8293835670501496,0.8171996153578283,240,0.3999311851723431,0.821367242888781,0.8101875944841794,240,0.7385306350983469,0.8244382801080127,0.8132015370065944
EYA3_e7,401,0.1430480232073175,0.4774374405316078,0.5179476299678744,401,0.2918895077706742,0.6482725118139522,0.6760515124814978,401,0.5214254432118819,0.6467679762679613,0.6758495917876648
EYA4_e14,258,0.058629180966991705,0.19893466347198566,0.1165464069254398,258,0.021041237165654744,0.12011479975242098,-0.014106289819852019,258,0.046808675928291306,0.19727784356000533,0.06583494273976015
EYA4_e19,288,1.059765270676382,0.757625606571245,0.8236355116912073,288,0.42657517760539,0.7969780062681759,0.823278441508658,288,0.6879197003221961,0.7823795095858759,0.823278441508658
EYS_e17,279,0.13461311494573341,0.27938214079941703,0.25992151527897706,279,0.06719913182223256,0.33662067479605057,0.3737009384710457,279,0.09537464222730642,0.33418322486369384,0.3772784010414686
FAM20A_e3,141,0.3066926101996776,0.7363921732942232,0.6430890054040728,141,0.23518792959504306,0.5868570738608777,0.5914255380230489,141,0.34468771950090865,0.5737538954751965,0.5910151923068926
FAM221A_e5,311,0.8801203540156617,0.8749908866578716,0.9029332566842108,311,0.49741946044078145,0.8141371895630032,0.8568532851855635,311,0.7317051185487805,0.7942966199807355,0.8557959567446235
FAM227B_e9,291,0.7134133018590735,0.775204790309644,0.827933135280239,291,0.6450478134532879,0.7897503113052624,0.7861788265529427,291,1.061009472559566,0.7791592907974944,0.7861671391159148
FAS_e8,45,0.6813620301909104,0.7609160401771596,0.6521739130434782,45,0.7541809033295109,0.7900132340274453,0.6676109229880849,45,1.2592916398123453,0.7834170467906495,0.6676109229880849
FBLN2_e9,405,0.634802871262547,0.6260860554573786,0.651110253262,405,0.10110076107260753,0.4032618634628589,0.4457075456919668,405,0.15652970957543164,0.41537977568392415,0.4498049265608404
FBN1_e18,147,0.02296980581014016,0.13443860052496712,0.14780268041847694,147,0.35948849916074266,0.6408956540823321,0.593871986322995,147,0.45452346771276353,0.6398840295115915,0.5934261889548548
FBN1_e23,141,0.056517918420383825,0.26165027630757703,0.249979665140632,141,0.2977490465382319,0.7941355965915851,0.7383843142304244,141,0.38897623809606574,0.7950975019662535,0.7460988506964339
FBXL13_e3,261,0.9993917764921467,0.893106053571282,0.8973435818710148,261,0.7528100211928334,0.8900485982406255,0.8745124388420259,261,1.2700388017010507,0.8890441740269336,0.8751504066106937
FCRL6_e9,66,0.6871848384986025,0.6677791234420017,0.6617889573113456,66,0.2894012010960867,0.760936756233706,0.7396591134847466,66,0.45296885789614116,0.7569206226471848,0.7397426129472233
FETUB_e3,252,1.4069332008691307,0.862277170568807,0.9039649615288228,252,0.3565692041230706,0.8202402880630221,0.836206531313697,252,0.5571707450645266,0.8127355960547051,0.8360738039271254
FGD1_e13,80,0.43611936593759526,0.7192614474931713,0.7304969526488514,80,0.6293807927481285,0.821265062533779,0.8055485557367331,80,1.120677350838468,0.8195375906058116,0.8063455599385996
FGF5_e2,300,0.12689898983559958,0.4471114675496835,0.5186635655914995,300,0.13343390827881757,0.6336848636211869,0.6319044854068427,300,0.18293104694117138,0.6371624746471055,0.6477765425868419
FGFR1OP2_e5,323,0.3291720304390872,0.42967307954910444,0.3920242101525382,323,0.20593222671059558,0.5109440658992855,0.5617344241190362,323,0.40402511375579025,0.5273398810607709,0.5628379660841505
FHAD1_e19,120,0.1660429459833001,0.2886517303399995,0.24930897979026315,120,0.4750405918235317,0.7896996175974088,0.7651308513291123,120,0.8110611505279295,0.7862968455212084,0.7640821655719648
FHIP1A_e2,41,0.09788050502369287,0.1954587973447216,0.0839721254355401,41,0.19468094226248542,0.6925525942736416,0.6202090592334496,41,0.30954993822631854,0.6925274519219715,0.6202090592334496
FH_e2,389,0.11004746689082816,0.2883911441297947,0.38277547759468633,389,0.09704049594667741,0.42450753863519014,0.49414601882791526,389,0.12402613081579976,0.40979672118152227,0.5032446861695807
FIG4_e6,434,0.04340785415546563,0.17273361524338135,0.1135459413782328,434,0.11703167249709524,0.5246458172552384,0.6182136462995051,434,0.17940459414369544,0.529185005873633,0.6330000026446703
FOXJ3_e6,290,0.19764037647994592,0.3356197992108106,0.5123688212179989,290,0.0941413566541581,0.3176452904477319,0.22262709034997424,290,0.13916711974093035,0.29542054234173504,0.2633553264140971
FOXM1_e9,323,0.957519329210757,0.7023537710902567,0.697873911832722,323,0.5286124813062755,0.7858634714065734,0.7930128287706538,323,0.9983459930666314,0.7883553597630105,0.7937746079685681
FOXP1_e18,346,0.4140511316859997,0.7185627895861276,0.7178653867867844,346,0.10440133824586803,0.5953742711304149,0.5602709993550001,346,0.13186226271598211,0.5735726292873197,0.5487024563957492
FSTL5_e11,69,2.1253422329486464,0.9211462354705562,0.9173547679941543,69,0.8020799430108045,0.8903447232576717,0.8955060284983559,69,1.5745098625790144,0.8923272258847323,0.8955060284983559
G6PC2_e4,329,1.52457212655495,0.8635675096396694,0.8429714483663022,329,0.4640339066760189,0.8560259781385591,0.8368966912495263,329,0.915028116308657,0.8567568209008662,0.8369694778850238
GAA_e10,247,0.5518187710415877,0.6038567699689726,0.5845830532877615,247,0.11123371046026717,0.5171936541965831,0.5501345523406834,247,0.1664096077720303,0.508995250052365,0.5516308832839009
GAD1_e12,322,0.9525588003522095,0.7162088117867383,0.7751265204014273,322,0.23130685757062502,0.6362140631529688,0.6446932100142939,322,0.45932698053750776,0.6370358744551128,0.644742208771903
GALNT6_e2,252,1.069196233061607,0.7760369992282761,0.7803397327947398,252,0.43710972461070297,0.6345443254465141,0.670437767094618,252,0.8099148076998377,0.6420422666093963,0.6707985807192168
GALNTL5_e7,320,0.07023556726041134,0.14499394883562927,0.11413381878795147,320,0.05232656667656257,0.29235806738294906,0.27462292201088384,320,0.09036362239022872,0.3116457529344113,0.3229859476023633
